# decision space					
# roll and tilt angle per NC-path position
### column 0 beta				
### column 1 gamma				

1.04719	5.51257						
1.04719	5.71348						
1.0472	5.73834						
1.0472	5.88189						
1.04717	6.0654						
1.04719	6.15025						
1.04719	6.28221551						
1.0472	6.28185311						
1.04719	6.28258229						
1.04719	6.16395031						

1.04493	6.05633
1.04543	6.05687
1.04382	6.05763
1.03813	6.05712
1.03195	6.05935
1.02957	6.06366
1.03113	6.06628
1.03499	6.06865
1.04228	6.06962
1.04102	6.07061

1.04698	5.86496
1.04717	5.89374
1.04718	5.92889
1.04719	5.96991
1.04667	6.01345
1.0459	6.05568
1.0472	6.09509
1.04697	6.12859
1.0472	6.1568
1.04718	6.1796

1.04674	5.8416
1.04708	5.87594
1.0472	5.91726
1.04719	5.9645
1.04718	6.01415
1.04653	6.06282
1.04719	6.10756
1.0472	6.1452
1.0472	6.17643
1.04632	6.20219

1.0472	5.89579
1.04714	5.92038
1.0472	5.94999
1.04544	5.98441
1.04609	6.02127
1.04617	6.05584
1.04719	6.08871
1.04709	6.11808
1.04715	6.14169
1.04699	6.16154

1.0472	5.52398
1.0472	5.70382
1.0472	5.74311
1.0472	5.88281
1.04718	6.06232
1.0472	6.15272
1.0472	6.27778
1.0472	6.28262
1.0472	6.27833
1.0472	6.16888

1.04715	5.96242
1.04716	5.97656
1.04447	5.9937
1.0459	6.01414
1.04555	6.03453
1.04486	6.05375
1.04719	6.0724
1.04716	6.08882
1.04516	6.10194
1.04348	6.11254

1.04693	5.85104
1.04703	5.88272
1.0472	5.92055
1.04719	5.9656
1.04604	6.01266
1.04647	6.05871
1.04718	6.10014
1.04688	6.13525
1.04717	6.16439
1.04704	6.18856

1.04719	5.65608
1.0472	5.73301
1.0472	5.81419
1.04719	5.91237
1.04718	6.01693
1.0472	6.10969
1.0472	6.19279
1.0472	6.24993
1.04716	6.27236
1.0472	6.22369

1.04719	5.64634
1.0472	5.72585
1.04719	5.81003
1.0472	5.91032
1.04718	6.01837
1.0472	6.11447
1.04719	6.19931
1.04719	6.25511
1.04719	6.26881
1.04715	6.21892

1.04713	5.88238
1.04714	5.9099
1.04716	5.94271
1.04628	5.98089
1.04538	6.02137
